handle,category,source,note
gamedevdotcom,gaming_industry,independent,Game development news and industry platform
tim_sweeney,gaming_executive,epic_games,Epic Games CEO and founder
gabnewell,gaming_executive,valve,Valve co-founder and managing director
yoshida_san,gaming_executive,sony,PlayStation CEO (Shuhei Yoshida)
phil_spencer,gaming_executive,microsoft,Xbox head
jason_schreier,gaming_journalism,kotaku/axios,Games journalist and industry reporter
stephentotilo,gaming_journalism,axios,Gaming business reporter
john_carmack,gaming_legend,id_software/oculus,Doom creator, VR pioneer
sid_meier,gaming_legend,firaxis,Civilization creator
will_wright,gaming_legend,maxis,SimCity creator, game design legend
notch,gaming_legend,mojang,Minecraft creator
gabe_newell_alt,gaming_executive,valve,Valve co-founder (alternate handle)
tim_cook,gaming_executive,apple,Apple CEO (gaming initiatives)
satya_nadella,gaming_executive,microsoft,Microsoft CEO (gaming/ Xbox)
marc_whitten,gaming_executive,unity,Unity CTO
johan_pilestedt,gaming_executive,paradox_interactive,Paradox CEO
mike_frazzini,gaming_executive,amazon,AWS Games director
lars_bakken,gaming_executive,riot_games,Riot Games director
yves_guillemot,gaming_executive,ubisoft,Ubisoft co-founder
strauss_zelnick,gaming_executive,take-two,Take-Two Interactive CEO
robert_kostick,gaming_executive,electronic_arts,EA CEO
andrew_wilson,gaming_executive,electronic_arts,EA CEO
cdprojekt_red,gaming_studio,cdpr,Cyberpunk 2077 developer
neil_druckmann,gaming_executive,naughty_dog,The Last of Us creative director
hideo_kojima,gaming_executive,kojima_productions,Metal Gear Solid creator
todd_howard,gaming_executive,bethesda,Elder Scrolls/Fallout director
amy_hennig,gaming_executive,skydance_games,Game writer and director
casey_hudson,gaming_executive,bio_ware,Mass Effect director
ray_muzekawa,gaming_executive,sony,PlayStation indie developer relations
rj_metcalf,gaming_executive,sony,PlayStation third-party relations
adam_boyes,gaming_executive,sony,Former Sony indie developer relations
matt_mcmullen,gaming_executive,valve,Steam Deck project lead
lawrence_yang,gaming_executive,valve,Steam Deck designer
greg_coomer,gaming_executive,valve,Valve hardware designer
mitch_gitelman,gaming_executive,playstation,PlayStation senior director
toshimasa_aoki,gaming_executive,nintendo,Nintendo senior director
yoshio_sakamoto,gaming_executive,nintendo,Metroid series creator
eiji_aonuma,gaming_executive,nintendo,Zelda series producer
katsuya_eguchi,gaming_executive,nintendo,Nintendo producer
yoshio_hishida,gaming_executive,nintendo,Nintendo communications director
kirby_foster,gaming_executive,nintendo,Nintendo communications
bill_trinen,gaming_executive,nintendo,Nintendo of America product marketing
dougbowser,gaming_executive,nintendo,Nintendo of America president
